Road Name	road_id	netw_id	feat_id	feat_type	name	lang_code	netw_geo_id	ferry_type	junction_id_from	junction_id_to	stacked_netw	part_of_structure	urban	back_road	stubble	processing_status	transition	display_class	routing_class	form_of_way	freeway	ramp	carriageway_designator	road_condition	no_through_traffic	rough_road	plural_junction	restricted_access	lez_restriction	toll_restriction	construction_status	demolition_date	simple_traffic_direction	blocked_passage_start	blocked_passage_end	num_of_lanes	speed_category	speedmax_pos	speedmax_neg	speed_dynamic	speed_average_pos	speed_average_neg	average_travel_time_pos	average_travel_time_neg	tourist_route_scenic	tourist_route_national	tourist_route_regional	tourist_route_nature	tourist_route_cultural	no_pedestrian_passage	not_crossable_by_pedestrians	ownership	overtaking_lane	ft_address_area_boundary_element	ft_road_element	ft_ferry_element	ft_railway_element	geometry
Finley Blvd	00005541-4c00-4600-0000-000017e12c24	00005541-4c00-0400-0000-00000009a821	00005541-4c00-0400-0000-00000009a821	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a821		00005541-4c00-2800-ffff-ffffd049e23f	00005541-4c00-2800-ffff-ffffd049e202	false		true	0	false	1		20	1	2	false			1		false							3			2	5	50	50			50		1.6										false	true	false	false	{"type":"LineString","coordinates":[[-86.849639,33.529829],[-86.849854,33.529743]]}
Finley Blvd	00005541-4c00-4600-0000-000017e12c24	00005541-4c00-0400-0000-00000009a824	00005541-4c00-0400-0000-00000009a824	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009a824		00005541-4c00-2800-ffff-ffffd049e244	00005541-4c00-2800-ffff-ffffd049e27a	false		true	0	false	1		20	1	2	false			1		false							2			3	6	50	50		47		1.3											false	true	false	false	{"type":"LineString","coordinates":[[-86.849693,33.530187],[-86.849878,33.530188]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13949	00005541-4c00-0400-0000-00000009b53b	00005541-4c00-0400-0000-00000009b53b	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009b53b		00005541-4c00-2800-ffff-ffffd049a98d	00005541-4c00-2800-ffff-ffffd04a64c4	false		true	0	false	1		60	5	3	false			1		false							1				7				26	31	4.6	3.9										false	true	false	false	{"type":"LineString","coordinates":[[-86.814474,33.546384],[-86.814138,33.546491]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13949	00005541-4c00-0400-0000-00000009b548	00005541-4c00-0400-0000-00000009b548	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009b548		00005541-4c00-2800-ffff-ffffd049a980	00005541-4c00-2800-ffff-ffffd049a98d	false		true	0	false	1		60	5	3	false			1		false							1				6				31	31	6.1	6.1										false	true	false	false	{"type":"LineString","coordinates":[[-86.815004,33.546224],[-86.814474,33.546384]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13949	00005541-4c00-0400-0000-00000009b549	00005541-4c00-0400-0000-00000009b549	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009b549		00005541-4c00-2800-ffff-ffffd049a982	00005541-4c00-2800-ffff-ffffd049a980	false		true	0	false	1		60	5	3	false			1		false							1				7				28	22	1.7	2.2										false	true	false	false	{"type":"LineString","coordinates":[[-86.815131,33.546171],[-86.815004,33.546224]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13ead	00005541-4c00-0400-0000-00000009baab	00005541-4c00-0400-0000-00000009baab	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009baab		00005541-4c00-2800-ffff-ffffd049a982	00005541-4c00-2800-ffff-ffffd049a4b9	false		true	0	false	1		60	5	2	false			1		false	1						3			1	7					9		16.2										false	true	false	false	{"type":"LineString","coordinates":[[-86.815131,33.546171],[-86.815173,33.546117],[-86.815495,33.5459823]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13ead	00005541-4c00-0400-0000-00000009baac	00005541-4c00-0400-0000-00000009baac	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009baac		00005541-4c00-2800-ffff-ffffd049a984	00005541-4c00-2800-ffff-ffffd049a4b7	false		true	0	false	1		60	5	2	false			1		false	1						3			1	8					5		17.7										false	true	false	false	{"type":"LineString","coordinates":[[-86.8155453,33.5460907],[-86.815291,33.546151]]}
Finley Blvd	00005541-4c00-4600-0000-000017e13ead	00005541-4c00-0400-0000-00000009baad	00005541-4c00-0400-0000-00000009baad	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000009baad		00005541-4c00-2800-ffff-ffffd049a4b7	00005541-4c00-2800-ffff-ffffd049a982	false		true	0	false	1		60	5	2	false			1		false	1						3			1	8					6		9.2										false	true	false	false	{"type":"LineString","coordinates":[[-86.815291,33.546151],[-86.815215,33.546175],[-86.815131,33.546171]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56557	00005541-4c00-0400-0000-00000008b8b5	00005541-4c00-0400-0000-00000008b8b5	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008b8b5		00005541-4c00-2800-ffff-ffffd049e228	00005541-4c00-2800-ffff-ffffd049e226	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		72		0.5											false	true	false	false	{"type":"LineString","coordinates":[[-86.847069,33.531017],[-86.846967,33.531064]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56557	00005541-4c00-0400-0000-00000008b8e8	00005541-4c00-0400-0000-00000008b8e8	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-00000008b8e8		00005541-4c00-2800-ffff-ffffd049e22e	00005541-4c00-2800-ffff-ffffd049e228	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		70		1.9											false	true	false	false	{"type":"LineString","coordinates":[[-86.847408,33.530851],[-86.847069,33.531017]]}
