id	entitytype	index_geometry	latitude	longitude	name	name_lng	name_type	road_class	route_dir	route_num	shield_code	micode	a2_code
00005541-4c00-0400-0000-00000000859d	road_element	{"type":"LineString","coordinates":[[-86.132739,34.689698],[-86.132681,34.68971],[-86.131354,34.689958]]}	-86.132047	34.689829	County Road 30	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-00000000859e	road_element	{"type":"LineString","coordinates":[[-86.131354,34.689958],[-86.131154,34.689996],[-86.129627,34.690282]]}	-86.130491	34.69012	County Road 30	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-00000000859f	road_element	{"type":"LineString","coordinates":[[-86.129627,34.690282],[-86.12772,34.690653]]}	-86.128674	34.690468	County Road 30	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-0000000085a0	road_element	{"type":"LineString","coordinates":[[-86.126837,34.689854],[-86.127036,34.689911],[-86.12772,34.690653]]}	-86.127303	34.690214	County Road 30	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-0000000085a1	road_element	{"type":"LineString","coordinates":[[-86.126837,34.689854],[-86.125819,34.690452]]}	-86.126328	34.690153	Old Larkinsville Rd	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-0000000085a2	road_element	{"type":"LineString","coordinates":[[-86.125819,34.690452],[-86.124694,34.691081]]}	-86.125257	34.690767	Old Larkinsville Rd	ENG	4	6		30	8200	20070000	AL071
00005541-4c00-0400-0000-0000000085a3	road_element	{"type":"LineString","coordinates":[[-86.125617,34.691935],[-86.126262,34.692622]]}	-86.12594	34.692279	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085a5	road_element	{"type":"LineString","coordinates":[[-86.15704,34.730366],[-86.158652,34.731609]]}	-86.157846	34.730988	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085a6	road_element	{"type":"LineString","coordinates":[[-86.159442,34.742984],[-86.159888,34.744955],[-86.160081,34.745705],[-86.160326,34.74652],[-86.160611,34.747281],[-86.161076,34.748725],[-86.161454,34.749541]]}	-86.160332	34.7463	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085a7	road_element	{"type":"LineString","coordinates":[[-86.162156,34.751344],[-86.162505,34.752254]]}	-86.162331	34.751799	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085a8	road_element	{"type":"LineString","coordinates":[[-86.161843,34.750545],[-86.162142,34.751306],[-86.162156,34.751344]]}	-86.162	34.750944	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085a9	road_element	{"type":"LineString","coordinates":[[-86.160359,34.75778],[-86.160251,34.757871],[-86.160036,34.758024],[-86.159835,34.758154],[-86.159553,34.758417],[-86.158598,34.759668]]}	-86.159421	34.758666	County Road 17	ENG	4	5		17	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085aa	road_element	{"type":"LineString","coordinates":[[-86.158598,34.759668],[-86.158506,34.759788],[-86.158397,34.760051],[-86.158294,34.760758]]}	-86.158399	34.760196	County Road 17	ENG	4	5		17	8200	20060000	AL071
